"module name","license","repository"
"@jest/fake-timers@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/globals@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/reporters@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/schemas@29.6.3","MIT","https://github.com/jestjs/jest"
"@jest/source-map@29.6.3","MIT","https://github.com/jestjs/jest"
"@jest/test-result@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/test-sequencer@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/transform@29.7.0","MIT","https://github.com/jestjs/jest"
"@jest/types@29.6.3","MIT","https://github.com/jestjs/jest"
"@jridgewell/gen-mapping@0.3.5","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.2.1","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/source-map@0.3.6","MIT","https://github.com/jridgewell/source-map"
"@jridgewell/sourcemap-codec@1.4.15","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.25","MIT","https://github.com/jridgewell/trace-mapping"
"@js-sdsl/ordered-map@4.4.2","MIT","https://github.com/js-sdsl/js-sdsl"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@npmcli/fs@3.1.1","ISC","https://github.com/npm/fs"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@protobufjs/aspromise@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/base64@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/codegen@2.0.4","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/eventemitter@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/fetch@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/float@1.0.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/inquire@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/path@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/pool@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/utf8@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@radix-ui/react-compose-refs@1.0.0","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-slot@1.0.1","MIT","https://github.com/radix-ui/primitives"
"@react-native-async-storage/async-storage@1.23.1","MIT","https://github.com/react-native-async-storage/async-storage"
"@react-native-community/cli-clean@13.6.8","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-config@13.6.8","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-debugger-ui@13.6.8","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-doctor@13.6.8","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-hermes@13.6.8","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-platform-android@13.6.8","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-platform-apple@13.6.8","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-platform-ios@13.6.8","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-server-api@13.6.8","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-tools@13.6.8","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli-types@13.6.8","MIT","https://github.com/react-native-community/cli"
"@react-native-community/cli@13.6.8","MIT","https://github.com/react-native-community/cli"
"@react-native-community/netinfo@11.3.2","MIT","https://github.com/react-native-netinfo/react-native-netinfo"
"@react-native-picker/picker@2.7.5","MIT","https://github.com/react-native-picker/picker"
"@react-native/assets-registry@0.74.84","MIT","https://github.com/facebook/react-native"
"@react-native/babel-plugin-codegen@0.74.84","MIT","https://github.com/facebook/react-native"
"@react-native/babel-preset@0.74.84","MIT","https://github.com/facebook/react-native"
"@react-native/codegen@0.74.84","MIT","https://github.com/facebook/react-native"
"@react-native/community-cli-plugin@0.74.84","MIT","https://github.com/facebook/react-native"
"@react-native/debugger-frontend@0.74.84","BSD-3-Clause","https://github.com/facebook/react-native"
"@react-native/dev-middleware@0.74.84","MIT","https://github.com/facebook/react-native"
"@react-native/gradle-plugin@0.74.84","MIT","https://github.com/facebook/react-native"
"@react-native/js-polyfills@0.74.84","MIT","https://github.com/facebook/react-native"
"@react-native/metro-babel-transformer@0.74.84","MIT","https://github.com/facebook/react-native"
"@react-native/normalize-colors@0.74.84","MIT","https://github.com/facebook/react-native"
"@react-native/virtualized-lists@0.74.84","MIT","https://github.com/facebook/react-native"
"@react-navigation/bottom-tabs@6.5.20","MIT","https://github.com/react-navigation/react-navigation"
"@react-navigation/core@6.4.16","MIT","https://github.com/react-navigation/react-navigation"
"@react-navigation/elements@1.3.30","MIT","https://github.com/react-navigation/react-navigation"
"@react-navigation/native-stack@6.9.26","MIT","https://github.com/react-navigation/react-navigation"
"@react-navigation/native@6.1.17","MIT","https://github.com/react-navigation/react-navigation"
"@react-navigation/routers@6.1.9","MIT","https://github.com/react-navigation/react-navigation"
"@remix-run/node@2.9.2","MIT","https://github.com/remix-run/remix"
"@remix-run/router@1.16.1","MIT","https://github.com/remix-run/react-router"
"@remix-run/server-runtime@2.9.2","MIT","https://github.com/remix-run/remix"
"@remix-run/web-blob@3.1.0","MIT","https://github.com/remix-run/web-std-io"
"@remix-run/web-fetch@4.4.2","MIT","https://github.com/remix-run/web-std-io"
"@remix-run/web-file@3.1.0","MIT","https://github.com/remix-run/web-std-io"
"@remix-run/web-form-data@3.1.0","MIT","https://github.com/remix-run/web-std-io"
"@remix-run/web-stream@1.1.0","MIT","https://github.com/remix-run/web-std-io"
"@rnx-kit/chromium-edge-launcher@1.0.0","Apache-2.0","https://github.com/microsoft/rnx-kit"
"@segment/loosely-validate-event@2.0.0","MIT*",""
"@sideway/address@4.1.5","BSD-3-Clause","https://github.com/sideway/address"
"@sideway/formula@3.0.1","BSD-3-Clause","https://github.com/sideway/formula"
"@sideway/pinpoint@2.0.0","BSD-3-Clause","https://github.com/sideway/pinpoint"
"@sinclair/typebox@0.27.8","MIT","https://github.com/sinclairzx81/typebox"
"@sindresorhus/is@4.6.0","MIT","https://github.com/sindresorhus/is"
"@sinonjs/commons@3.0.1","BSD-3-Clause","https://github.com/sinonjs/commons"
"@sinonjs/fake-timers@10.3.0","BSD-3-Clause","https://github.com/sinonjs/fake-timers"
"@szmarczak/http-timer@4.0.6","MIT","https://github.com/szmarczak/http-timer"
"@tootallnate/once@2.0.0","MIT","https://github.com/TooTallNate/once"
"@types/babel__core@7.20.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.6.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__template@7.4.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__traverse@7.20.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cacheable-request@6.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/caseless@0.12.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cookie@0.6.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/geojson@7946.0.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/graceful-fs@4.1.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/hammerjs@2.0.45","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-cache-semantics@4.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-coverage@2.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-report@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-reports@3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jsdom@20.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jsonwebtoken@9.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/keyv@3.1.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/long@4.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node-forge@1.3.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@18.19.34","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-native-vector-icons@6.4.18","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-native@0.70.19","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-test-renderer@18.3.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.2.79","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/request@2.48.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/responselike@1.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/stack-utils@2.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/tough-cookie@4.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/uuid@9.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ws@7.4.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs-parser@21.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs@17.0.32","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@urql/core@2.3.6","MIT","https://github.com/FormidableLabs/urql"
"@urql/exchange-retry@0.3.0","MIT","https://github.com/FormidableLabs/urql"
"@web3-storage/multipart-parser@1.0.0","(Apache-2.0 AND MIT)","https://github.com/web3-storage/multipart-parser"
"@xmldom/xmldom@0.7.13","MIT","https://github.com/xmldom/xmldom"
"@zxing/text-encoding@0.9.0","(Unlicense OR Apache-2.0)","https://github.com/zxing-js/text-encoding"
"abab@2.0.6","BSD-3-Clause","https://github.com/jsdom/abab"
"abort-controller@3.0.0","MIT","https://github.com/mysticatea/abort-controller"
"accepts@1.3.8","MIT","https://github.com/jshttp/accepts"
"acorn-globals@7.0.1","MIT","https://github.com/ForbesLindesay/acorn-globals"
"acorn-walk@8.3.2","MIT","https://github.com/acornjs/acorn"
"acorn@8.11.3","MIT","https://github.com/acornjs/acorn"
"agent-base@6.0.2","MIT","https://github.com/TooTallNate/node-agent-base"
"aggregate-error@3.1.0","MIT","https://github.com/sindresorhus/aggregate-error"
"ajv-formats@2.1.1","MIT","https://github.com/ajv-validator/ajv-formats"
"ajv-keywords@5.1.0","MIT","https://github.com/epoberezkin/ajv-keywords"
"ajv@8.15.0","MIT","https://github.com/ajv-validator/ajv"
"anser@1.4.10","MIT","https://github.com/IonicaBizau/anser"
"ansi-escapes@4.3.2","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-fragments@0.2.1","MIT","https://github.com/zamotany/ansi-fragments"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"any-promise@1.3.0","MIT","https://github.com/kevinbeaty/any-promise"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"appdirsjs@1.2.7","MIT","https://github.com/codingjerk/appdirsjs"
"application-config-path@0.1.1","MIT","https://github.com/LinusU/node-application-config-path"
"arg@5.0.2","MIT","https://github.com/vercel/arg"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse"
"array-buffer-byte-length@1.0.1","MIT","https://github.com/inspect-js/array-buffer-byte-length"
"array-union@2.1.0","MIT","https://github.com/sindresorhus/array-union"
"arraybuffer.prototype.slice@1.0.3","MIT","https://github.com/es-shims/ArrayBuffer.prototype.slice"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
